cluster_id,family_id,family_name,family_sort_order
c_4,in_memory,In-Memory & Emerging Memory,5
c_43,in_memory,In-Memory & Emerging Memory,5
c_48,in_memory,In-Memory & Emerging Memory,5
c_5,in_memory,In-Memory & Emerging Memory,5
c_55,in_memory,In-Memory & Emerging Memory,5
c_58,in_memory,In-Memory & Emerging Memory,5
c_60,in_memory,In-Memory & Emerging Memory,5
c_75,in_memory,In-Memory & Emerging Memory,5
c_79,in_memory,In-Memory & Emerging Memory,5
c_8,in_memory,In-Memory & Emerging Memory,5
c_80,in_memory,In-Memory & Emerging Memory,5
c_81,in_memory,In-Memory & Emerging Memory,5
c_82,in_memory,In-Memory & Emerging Memory,5
c_83,in_memory,In-Memory & Emerging Memory,5
c_84,in_memory,In-Memory & Emerging Memory,5
c_85,in_memory,In-Memory & Emerging Memory,5
c_86,in_memory,In-Memory & Emerging Memory,5
c_87,in_memory,In-Memory & Emerging Memory,5
c_88,in_memory,In-Memory & Emerging Memory,5
c_92,in_memory,In-Memory & Emerging Memory,5
c_93,in_memory,In-Memory & Emerging Memory,5
c_94,in_memory,In-Memory & Emerging Memory,5
c_95,in_memory,In-Memory & Emerging Memory,5
c_96,in_memory,In-Memory & Emerging Memory,5
c_97,in_memory,In-Memory & Emerging Memory,5
c_1,adjacent,Adjacent / Out of Headline,6
c_107,adjacent,Adjacent / Out of Headline,6
c_11,adjacent,Adjacent / Out of Headline,6
c_114,adjacent,Adjacent / Out of Headline,6
c_116,adjacent,Adjacent / Out of Headline,6
c_12,adjacent,Adjacent / Out of Headline,6
c_133,adjacent,Adjacent / Out of Headline,6
c_137,adjacent,Adjacent / Out of Headline,6
c_139,adjacent,Adjacent / Out of Headline,6
c_146,adjacent,Adjacent / Out of Headline,6
c_148,adjacent,Adjacent / Out of Headline,6
c_15,adjacent,Adjacent / Out of Headline,6
c_151,adjacent,Adjacent / Out of Headline,6
c_154,adjacent,Adjacent / Out of Headline,6
c_157,adjacent,Adjacent / Out of Headline,6
c_160,adjacent,Adjacent / Out of Headline,6
c_166,adjacent,Adjacent / Out of Headline,6
c_168,adjacent,Adjacent / Out of Headline,6
c_169,adjacent,Adjacent / Out of Headline,6
c_18,adjacent,Adjacent / Out of Headline,6
c_185,adjacent,Adjacent / Out of Headline,6
c_186,adjacent,Adjacent / Out of Headline,6
c_19,adjacent,Adjacent / Out of Headline,6
c_20,adjacent,Adjacent / Out of Headline,6
c_214,adjacent,Adjacent / Out of Headline,6
